,,Wk,Date,Time,Team,Opponent,Goals,HomeGround,Avg_Age,%FPla,OppGlsAgst90,AvgGoalsScored_90,GlsRatio,tablePos,points
2018,93,13.0,2018-08-04,15:00,Stabæk,Grand Bodø,2,1,23.6,0.040000000000000036,3.5999999046325684,2.0999999046325684,2.0,3.0,43.0
2018,93,13.0,2018-08-04,15:00,Grand Bodø,Stabæk,0,0,23.4,0.30000000000000004,1.0,1.399999976158142,0.4000000059604645,11.0,8.0
2018,94,13.0,2018-08-05,14:00,Arna-Bjørnar,Trondheims-Ørn,6,1,21.9,0.09999999999999998,1.600000023841858,1.7999999523162842,1.399999976158142,6.0,35.0
2018,94,13.0,2018-08-05,14:00,Trondheims-Ørn,Arna-Bjørnar,1,0,21.8,0.0,1.2999999523162842,1.600000023841858,1.0,8.0,30.0
2018,96,14.0,2018-08-11,14:00,Vålerenga,Sandviken,1,1,25.6,0.22999999999999998,1.5,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,96,14.0,2018-08-11,14:00,Sandviken,Vålerenga,0,0,26.4,0.20999999999999996,1.5,1.0,0.699999988079071,9.0,18.0
2018,97,14.0,2018-08-11,15:00,Klepp,Stabæk,2,1,25.1,0.26,1.0,1.5,1.399999976158142,4.0,40.0
2018,97,14.0,2018-08-11,15:00,Stabæk,Klepp,0,0,23.6,0.040000000000000036,1.100000023841858,2.0999999046325684,2.0,3.0,43.0
2018,98,14.0,2018-08-11,15:00,Røa,Kolbotn,1,1,22.7,0.040000000000000036,2.0,1.899999976158142,1.5,5.0,37.0
2018,98,14.0,2018-08-11,15:00,Kolbotn,Røa,2,0,21.2,0.050000000000000044,1.2999999523162842,0.800000011920929,0.4000000059604645,10.0,15.0
2018,99,14.0,2018-08-11,16:00,Trondheims-Ørn,Lyn,1,1,21.8,0.0,,1.600000023841858,1.0,8.0,30.0
2018,99,14.0,2018-08-11,16:00,Lyn,Trondheims-Ørn,1,0,19.8,0.0,1.600000023841858,,,,
2018,100,14.0,2018-08-12,16:00,Grand Bodø,LSK Kvinner,0,1,23.4,0.30000000000000004,0.800000011920929,1.399999976158142,0.4000000059604645,11.0,8.0
2018,100,14.0,2018-08-12,16:00,LSK Kvinner,Grand Bodø,3,0,24.1,0.21999999999999997,3.5999999046325684,3.0999999046325684,3.799999952316284,1.0,59.0
2018,102,4.0,2018-08-15,19:00,Kolbotn,Lyn,1,1,21.2,0.050000000000000044,,0.800000011920929,0.4000000059604645,10.0,15.0
2018,102,4.0,2018-08-15,19:00,Lyn,Kolbotn,0,0,19.8,0.0,2.0,,,,
2018,104,15.0,2018-08-18,15:00,Stabæk,Vålerenga,0,1,23.6,0.040000000000000036,1.5,2.0999999046325684,2.0,3.0,43.0
2018,104,15.0,2018-08-18,15:00,Vålerenga,Stabæk,1,0,25.6,0.22999999999999998,1.0,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,105,15.0,2018-08-18,15:00,Sandviken,Røa,5,1,26.4,0.20999999999999996,1.2999999523162842,1.0,0.699999988079071,9.0,18.0
2018,105,15.0,2018-08-18,15:00,Røa,Sandviken,3,0,22.7,0.040000000000000036,1.5,1.899999976158142,1.5,5.0,37.0
2018,106,15.0,2018-08-18,15:00,Lyn,Klepp,0,1,19.8,0.0,1.100000023841858,,,,
2018,106,15.0,2018-08-18,15:00,Klepp,Lyn,1,0,25.1,0.26,,1.5,1.399999976158142,4.0,40.0
2018,107,15.0,2018-08-18,15:00,Kolbotn,Trondheims-Ørn,3,1,21.2,0.050000000000000044,1.600000023841858,0.800000011920929,0.4000000059604645,10.0,15.0
2018,107,15.0,2018-08-18,15:00,Trondheims-Ørn,Kolbotn,3,0,21.8,0.0,2.0,1.600000023841858,1.0,8.0,30.0
